NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Ml Caseiros;Não;https://www.ifood.com.br/delivery/igarassu-pe/ml-caseiros-agamenon-magalhaes/38760c8e-8996-4392-9ad5-a08f3f39a779;igarassu-pe;Novidade;Brasileira;3.5 km;Fechado;R$ 6,99
Coxinhas Abreu;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/coxinhas-abreu-matinha/9097a3f7-beca-4155-989e-b67903091cb7;abreu-e-lima-pe;-;Brasileira;3.5 km;Fechado;R$ 6,99
Cris Açaiteria;Não;https://www.ifood.com.br/delivery/igarassu-pe/cris-acaiteria-santa-rita/b3c5f34c-8ba4-4453-9e3e-b0123d51f321;igarassu-pe;Novidade;Açaí;3.5 km;Fechado;R$ 8,99
Jj Galetos;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/jj-galetos-boa-esperanca/487de182-cf49-4bc4-9e7b-316e4c01580d;abreu-e-lima-pe;Novidade;Brasileira;3.5 km;Fechado;R$ 7,99
China Yakibium;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/china-yakibium-desterro/a111ff44-adbd-4626-88f5-4de4b0f36c21;abreu-e-lima-pe;-;Chinesa;3.5 km;Fechado;Grátis
Luddy's Patisserie;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/luddys-patisserie-boa-esperanca/d1eaa1a6-0f4e-45ac-a4dd-d8c98fa714b1;abreu-e-lima-pe;-;Doces & Bolos;3.5 km;Fechado;R$ 6,99
O Tempero Regional;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/o-tempero-regional-matinha/7f99f6e5-1cc1-4d4f-b2d7-fa7e448a5014;abreu-e-lima-pe;Novidade;Brasileira;3.6 km;Fechado;R$ 7,00
Donna Irene Café;Não;https://www.ifood.com.br/delivery/igarassu-pe/donna-irene-cafe-centro/e749a126-ad8c-4862-8b4f-69d2b915281e;igarassu-pe;Novidade;Cafeteria;3.6 km;Fechado;R$ 6,00
Lone Açai;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/lone-acai-matinha/9ec64ea6-9c69-4363-a1c2-5cbb48bf8866;abreu-e-lima-pe;-;Açaí;3.6 km;Fechado;R$ 6,00
Tapioca Raízes do Sertão;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/tapioca-raizes-do-sertao-boa-esperanca/18493413-ed78-4e5f-9ec0-41a039be6580;abreu-e-lima-pe;-;Tapioca;3.7 km;Fechado;R$ 6,99
