NomeLoja;LojaCampea;EnderecoWeb;Cidade;Estrelas;Segmento;Distancia;Tempo;Frete
Fanatico' S Hambúrguer & Pizza;Não;https://www.ifood.com.br/delivery/igarassu-pe/fanatico-s-hamburguer--pizza-saramandaia/607d55c6-9a3d-434d-80d8-e57d35919276;igarassu-pe;4.2;Pizza;2.5 km;47-57 min;R$ 4,99
Presidente Burguer;Não;https://www.ifood.com.br/delivery/igarassu-pe/presidente-burguer-saramandaia/c159bba9-e60f-4f16-af69-88e26f319870;igarassu-pe;4.8;Lanches;2.5 km;30-40 min;R$ 8,00
Chama Petiscaria;Não;https://www.ifood.com.br/delivery/igarassu-pe/chama-petiscaria-centro/3b735930-0886-4abc-ab1a-e98ed2b65bbf;igarassu-pe;Novidade;Lanches;2.5 km;25-35 min;R$ 4,99
Doce Morena;Não;https://www.ifood.com.br/delivery/igarassu-pe/doce-morena-saramandaia/a2626134-9d42-4178-98ce-1509fa4dbe61;igarassu-pe;Novidade;Doces & Bolos;2.7 km;43-53 min;R$ 5,99
Cheirinho de Vó Picolés Gourmet;Sim;https://www.ifood.com.br/delivery/igarassu-pe/cheirinho-de-vo-picoles-gourmet-saramandaia/c4f2e78b-1514-464c-9ecc-16a515de2c17;igarassu-pe;4.9;Sorvetes;2.8 km;40-50 min;R$ 5,99
Sacolé da Adri;Não;https://www.ifood.com.br/delivery/igarassu-pe/sacole-da-adri-saramandaia/37b7ad31-d82a-458e-b06e-9efe5b33dec0;igarassu-pe;5.0;Sorvetes;2.8 km;48-58 min;R$ 5,99
Rogerio Pizza's;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rogerio-pizzas-desterro/7ab6e09b-8459-427b-aacd-78ec754dc41b;abreu-e-lima-pe;5.0;Pizza;2.9 km;50-60 min;R$ 7,00
Açai da Villa;Não;https://www.ifood.com.br/delivery/igarassu-pe/acai-da-villa-santa-rita/d5c7dd59-a6f3-4b92-9fa8-9142adaaed4b;igarassu-pe;4.3;Açaí;3.1 km;50-60 min;R$ 7,00
The Best Açaíteria & Hambúrgueria;Não;https://www.ifood.com.br/delivery/igarassu-pe/the-best-acaiteria--hamburgueria-sitio-historico/581af570-8425-49eb-9529-026d05235522;igarassu-pe;3.8;Lanches;3.1 km;70-80 min;R$ 5,00
Pizzaria do Grau;Não;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-do-grau-igarassu/a1b7bd05-0c4a-4619-aac5-924a81b6f2df;igarassu-pe;4.0;Pizza;3.4 km;50-60 min;R$ 5,00
Rainha dos Espetos;Não;https://www.ifood.com.br/delivery/igarassu-pe/rainha-dos-espetos-agamenon-magalhaes/688d3701-4109-49f2-988e-9a29c5d727bd;igarassu-pe;4.2;Brasileira;3.5 km;60-70 min;R$ 8,00
Capital do Sabor;Não;https://www.ifood.com.br/delivery/igarassu-pe/capital-do-sabor-centro/0799a590-c3ff-435e-abbd-82c2c6764a9c;igarassu-pe;3.9;Pizza;3.6 km;60-70 min;Grátis
Fast Burger;Sim;https://www.ifood.com.br/delivery/igarassu-pe/fast-burger-agamenon-magalhaes/0a4ef71c-aa46-4d7c-90f0-ed0ac2cddbae;igarassu-pe;5.0;Lanches;3.8 km;70-80 min;R$ 3,00
Mr. Mix Milk Shakes- Igarassu;Não;https://www.ifood.com.br/delivery/igarassu-pe/mr-mix-milk-shakes--igarassu-centro/d901ac7e-118d-4466-b6cd-dd5661e175c9;igarassu-pe;4.7;Sorvetes;4.0 km;60-70 min;R$ 10,00
Japa Sette e Pizza Sette;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/japa-sette-e-pizza-sette-centro/a9cb9d46-2180-476a-bd68-48bd4d148605;abreu-e-lima-pe;4.8;Variada;4.1 km;33-43 min;R$ 10,99
Loja de Conveniência Br Mania;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/loja-de-conveniencia-br-mania-centro/2eaf2954-4f68-4025-8c86-27054fa45844;abreu-e-lima-pe;Novidade;Conveniência;4.1 km;37-47 min;R$ 11,99
Stive Burger'rs;Não;https://www.ifood.com.br/delivery/igarassu-pe/stive-burgerrs-agamenon-magalhaes/967617a2-cc80-47a0-a415-3fa6d27b9811;igarassu-pe;4.9;Hambúrguer;4.2 km;55-65 min;R$ 9,99
Na Chapa Lanchonete;Não;https://www.ifood.com.br/delivery/igarassu-pe/na-chapa-lanchonete-agamenon-magalhaes/925cf89e-e91b-4b1d-b4ad-03e4083a7f85;igarassu-pe;5.0;Lanches;4.2 km;80-90 min;R$ 12,00
Nosso Boteco 1;Não;https://www.ifood.com.br/delivery/igarassu-pe/nosso-boteco-1-centro/f64a4eda-bb8c-435e-88f5-cd0fedb61652;igarassu-pe;4.2;Pizza;4.2 km;60-70 min;R$ 7,00
Nosso Boteco Igarassu;Não;https://www.ifood.com.br/delivery/igarassu-pe/nosso-boteco-igarassu-centro/3cfdb410-98ed-454a-bfcf-eb54ca1e4850;igarassu-pe;4.0;Brasileira;4.3 km;60-70 min;R$ 6,00
La Nave;Não;https://www.ifood.com.br/delivery/igarassu-pe/la-nave-centro/46dba41c-67de-44ca-9f5a-04f030534c17;igarassu-pe;4.8;Pizza;4.3 km;120-130 min;R$ 10,00
Requintt Pizzaria;Não;https://www.ifood.com.br/delivery/igarassu-pe/requintt-pizzaria-santo-inacio/98981b2e-0baf-425c-838e-dab335435567;igarassu-pe;4.9;Pizza;4.4 km;70-80 min;R$ 5,00
Neto Bebidas e Variedades - (Cupom R$10,00 Disponível na loja);Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/neto-bebidas-e-variedades---cupom-r1000-disponivel-na-loja-centro/a2f349b7-9556-4214-8346-7fdb67bdd95e;abreu-e-lima-pe;Novidade;Bebidas;4.4 km;41-51 min;R$ 11,99
Rei dos Sabores Abreu e Lima;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rei-dos-sabores-abreu-e-lima-centro/c1fd20d7-3e1c-4514-bba2-7db7a1d25096;abreu-e-lima-pe;4.5;Brasileira;4.5 km;69-79 min;R$ 8,99
Donna Paty - Abreu e Lima;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/donna-paty---abreu-e-lima-centro/d106eb49-a591-4d44-b30a-13caa48343dc;abreu-e-lima-pe;4.7;Lanches;4.5 km;45-55 min;R$ 9,00
Boteco da Donna;Não;https://www.ifood.com.br/delivery/abreu-e-lima-pe/boteco-da-donna-centro/1c36b7e4-c0d7-431b-aadd-392bf84d4aee;abreu-e-lima-pe;4.3;Lanches;4.7 km;70-80 min;R$ 7,00
