NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio
Restaurante Bom Gosto;https://www.ifood.com.br/delivery/igarassu-pe/restaurante-bom-gosto-cruz-do-reboucas/1df483cb-793d-4496-b598-dc9d64022934;Rua Santo Antônio, 623 - Cruz do Rebouças;Igarassu - PE;53635-070;36.891.553/0001-29;['Segunda-feira - 11:00 às 14:00', 'Terça-feira - 11:00 às 14:00', 'Quarta-feira - 11:00 às 14:00', 'Quinta-feira - 11:00 às 14:00', 'Sexta-feira - 11:00 às 14:00', 'Sábado - 10:45 às 14:00', 'Domingo - Não abre'];['refrigerantes']
Acarajé Tem Dendê Visse?;https://www.ifood.com.br/delivery/igarassu-pe/acaraje-tem-dende-visse--cruz-do-reboucas/2b920e90-0e46-4faf-bcf0-8fa92fc6767b;Rua João Cavalcanti, 383 - Cruz do Rebouças;Igarassu - PE;53635-060;37.007.693/0001-54;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - 17:00 às 22:00', 'Sábado - 17:00 às 22:00', 'Domingo - 17:00 às 22:00'];['acarajé - combo', 'acarajé - kit família', 'acarajé tradicional', 'bebidas']
Galeto do Tony;https://www.ifood.com.br/delivery/igarassu-pe/galeto-do-tony-cruz-do-reboucas/da835e3e-4325-4cce-b915-b5e528e071bd;Avenida José de Holanda, 114 - Cruz do Rebouças;Igarassu - PE;53635-085;35.612.669/0001-19;['Segunda-feira - Não abre', 'Terça-feira - 11:00 às 15:00', 'Quarta-feira - 11:00 às 15:00', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 11:00 às 15:00', 'Sábado - 10:00 às 15:00', 'Domingo - 10:00 às 15:00'];['frango a moda da casa', 'galeto inteiro simples', 'quentinha com bife acebolado, completo.', 'quentinha com galeto, completo.', 'quentinha com galeto, completo. (g)', 'marmita de fígado acebolado', 'marmita c/fígado acebolado e bife aceb.', 'marmita com galeto e bife acebolado']
Don Açúcar;https://www.ifood.com.br/delivery/igarassu-pe/don-acucar-inhama/08610048-aa2b-43af-9cb6-a0efcf494412;Rua Frei Miguelinho, 299 - Inhamã;Igarassu - PE;53625-813;35.422.165/0001-36;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 11:00 às 12:00', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['copo da felicidade', 'bolo no pote', 'brownie', 'bombom no pote', 'fatia de bolo', 'tortas', 'pudim', 'delícias', 'salgados']
Bentô Cakes_igarassu;https://www.ifood.com.br/delivery/igarassu-pe/bento-cakesigarassu-encanto-igarassu/942a5604-66b5-4d62-926c-1d42cec2d5c1;Rua Calhambeque, 100 - Encanto Igarassu;Igarassu - PE;53620-109;40.333.602/0001-85;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['bebidas', 'cupom']
Ponto da Batata;https://www.ifood.com.br/delivery/igarassu-pe/ponto-da-batata-bonfim/eb4f1148-f307-4cb8-9844-ed9493abb2b5;-;-;-;-;['Segunda-feira - Não abre', 'Terça-feira - 15:00 às 22:00', 'Quarta-feira - 15:00 às 22:00', 'Quinta-feira - 15:00 às 22:00', 'Sexta-feira - 15:00 às 22:00', 'Sábado - 15:00 às 22:00', 'Domingo - 15:00 às 22:00'];['pegue seu código com 10$ de desconto']
Leleo Pizza;https://www.ifood.com.br/delivery/igarassu-pe/leleo-pizza-bonfim/91927b4e-13be-427b-99fa-6a527d8ea841;Rua Barra da Guabiraba, 93 - Bonfim;Igarassu - PE;53637-070;41.082.783/0001-87;['Segunda-feira - Não abre', 'Terça-feira - 19:45 às 23:15', 'Quarta-feira - 19:45 às 23:15', 'Quinta-feira - 19:45 às 23:15', 'Sexta-feira - 19:45 às 23:15', 'Sábado - 19:45 às 23:15', 'Domingo - 17:00 às 23:15'];['pizzas grandes', 'bebidas']
Deposito de Bebidas Lima;https://www.ifood.com.br/delivery/igarassu-pe/deposito-de-bebidas-lima-bonfim/13e11356-9d6f-439e-87e9-017b39946aac;Rua Barra da Guabiraba, 17 - Bonfim;Igarassu - PE;53637-070;38.056.124/0001-61;['Segunda-feira - 11:00 às 23:00', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['destaques', 'cupom de desconto', 'cervejas', 'bebidas alcoólicas', 'energéticos']
Pense Pizza;https://www.ifood.com.br/delivery/igarassu-pe/pense-pizza-inhama/4ba390e5-9c93-4de6-8cb0-5ff6734763d6;Avenida Barão de Vera Cruz, 3 - Inhamã;Igarassu - PE;53625-815;29.101.712/0001-89;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 18:00 às 22:00', 'Quinta-feira - 18:00 às 22:00', 'Sexta-feira - 18:00 às 22:00', 'Sábado - 18:00 às 22:00', 'Domingo - 17:00 às 22:00'];['dica do chefe promoção quarta', 'bebidas']
Ranubia Bolos e Lanche;https://www.ifood.com.br/delivery/igarassu-pe/ranubia-bolos-e-lanche-umbura/feacb760-b9a9-47ec-8fe7-20827238627f;Rua das Amoreiras, 7 - Umbura;Igarassu - PE;53625-653;41.297.846/0001-12;['Segunda-feira - Não abre', 'Terça-feira - 11:00 às 23:00', 'Quarta-feira - 11:00 às 23:00', 'Quinta-feira - 11:00 às 23:00', 'Sexta-feira - 11:00 às 23:00', 'Sábado - 11:00 às 23:00', 'Domingo - 11:00 às 23:00'];['coxinha', 'batata frita', 'açaí']
Caseiros;https://www.ifood.com.br/delivery/igarassu-pe/caseiros-cruz-de-reboucas/38e219b9-d941-4627-8025-4e11dab40a27;Av. Santa Catarina, Bonfim 2, 8 - Cruz de Rebouças;Igarassu - PE;53637-225;37.985.858/0001-62;['Segunda-feira - 17:00 às 23:00', 'Terça-feira - 17:00 às 23:00', 'Quarta-feira - 16:30 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 11:00 às 15:00 - 17:00 às 23:00', 'Domingo - 11:00 às 15:00 - 17:00 às 23:00'];['molhos', 'bebidas', 'porção', 'caldinhos']
Br Refeicoes- Cupom de R$10,00 Disponível;https://www.ifood.com.br/delivery/igarassu-pe/br-refeicoes--cupom-de-r1000-disponivel-rubina/bc6304f0-f62a-4395-aa12-9ad3388de6d4;Rua Maria Elizabete Soares de Lira, 10 - Rubina;Igarassu - PE;53635-535;48.663.434/0001-06;['Segunda-feira - 11:00 às 15:00', 'Terça-feira - 11:00 às 15:00', 'Quarta-feira - 11:00 às 15:00', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 11:00 às 15:00', 'Sábado - 11:00 às 15:00', 'Domingo - 11:00 às 15:00'];['use o cupom de desconto restnovoevba6q', 'marmitas', 'lanches e salgados', 'sobremesas', 'bebidas']
Rw Doceria e Lanches;https://www.ifood.com.br/delivery/igarassu-pe/rw-doceria-e-lanches-inhama/2ad728d3-b7e5-4f59-85f4-6d112ae53d72;Rua Shalon, 28 - Inhamã;Igarassu - PE;53625-831;46.190.364/0001-82;['Segunda-feira - 12:00 às 15:00 - 19:00 às 23:00', 'Terça-feira - 12:00 às 15:00 - 18:00 às 22:00', 'Quarta-feira - 12:00 às 15:00 - 19:00 às 22:00', 'Quinta-feira - 12:00 às 15:00 - 18:00 às 22:00', 'Sexta-feira - 11:00 às 15:00 - 18:00 às 22:00', 'Sábado - 12:00 às 15:00 - 18:00 às 22:00', 'Domingo - 12:00 às 15:00 - 18:00 às 22:00'];['doces e sobremesas']
Barboza Refeições;https://www.ifood.com.br/delivery/igarassu-pe/barboza-refeicoes-rubina/d05b63fa-0f65-4f91-aca1-faf34b6b0010;-;-;-;-;['Segunda-feira - 11:00 às 16:00', 'Terça-feira - 11:00 às 22:00', 'Quarta-feira - 11:00 às 22:00', 'Quinta-feira - 11:00 às 22:00', 'Sexta-feira - 11:00 às 22:00', 'Sábado - 11:00 às 22:00', 'Domingo - 11:00 às 22:00'];['almoços']
Miss Lanches&sobremesas;https://www.ifood.com.br/delivery/igarassu-pe/miss-lanchessobremesas-rubina/ee3f52ee-9da9-42e9-be03-108595d26134;Rua Acajutiba, 3 - Rubina;Igarassu - PE;53635-555;47.993.966/0001-30;['Segunda-feira - 14:00 às 22:00', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - 11:00 às 15:00', 'Sexta-feira - 13:00 às 21:00', 'Sábado - 11:00 às 21:00', 'Domingo - 11:00 às 21:00'];['cupom de desconto', 'sobremesas']
Peggiore Pizza;https://www.ifood.com.br/delivery/igarassu-pe/peggiore-pizza-saramandaia/42ea839b-c03f-4cf4-94a2-0f67e70eacdf;Avenida Vinte e Sete de Setembro, 501 - Saramandaia;Igarassu - PE;53620-615;40.195.599/0001-80;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 05:00 às 06:00', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - Não abre', 'Domingo - Não abre'];['promoções', 'pizzas', 'hamburgueria', 'batata frita e salgados', 'bebidas']
Galeto do Valdir;https://www.ifood.com.br/delivery/igarassu-pe/galeto-do-valdir-cruz-de-reboucas/b874608f-2e65-4591-802b-861a2a73f5d7;Rua Rubina, 900 - Cruz de Rebouças,;Igarassu - PE;53637-550;00.860.453/0001-98;['Segunda-feira - Não abre', 'Terça-feira - 10:00 às 13:30', 'Quarta-feira - 10:00 às 13:30', 'Quinta-feira - 10:00 às 13:30', 'Sexta-feira - 10:00 às 13:30', 'Sábado - 09:00 às 14:00', 'Domingo - 09:00 às 14:00'];['porções completa', 'comidas regionais', 'bebidas', 'almoço executivo']
Bora de Açaí!;https://www.ifood.com.br/delivery/igarassu-pe/bora-de-acai-ana-de-albuquerque/6f351f7b-8520-406f-88e7-f7f82e5e3aba;Rua Paraíba, 55 - Ana de Albuquerque;Igarassu - PE;53630-115;41.119.740/0001-29;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - Não abre', 'Quinta-feira - Não abre', 'Sexta-feira - Não abre', 'Sábado - 16:00 às 17:00', 'Domingo - 17:15 às 23:00'];['-']
