NomeLoja;EnderecoWeb;Endereco;Cidade;CEP;CNPJ;Horario;GrupoCardapio
Fanatico' S Hambúrguer & Pizza;https://www.ifood.com.br/delivery/igarassu-pe/fanatico-s-hamburguer--pizza-saramandaia/607d55c6-9a3d-434d-80d8-e57d35919276;Rua Vereador Walfrido Uchôa Cavalcante, 369 - Saramandaia;Igarassu - PE;53620-545;30.725.178/0001-60;['Segunda-feira - 18:00 às 23:00', 'Terça-feira - 18:00 às 23:00', 'Quarta-feira - 18:00 às 23:00', 'Quinta-feira - 18:00 às 23:00', 'Sexta-feira - 18:00 às 23:00', 'Sábado - 18:00 às 23:00', 'Domingo - 18:00 às 23:00'];['combos', 'salgados', 'bebidas', 'hamburguer', 'hambúrgueres artesanais']
Doce Morena;https://www.ifood.com.br/delivery/igarassu-pe/doce-morena-saramandaia/a2626134-9d42-4178-98ce-1509fa4dbe61;Avenida Agro Industrial de Igarassu, 103 - Saramandaia;Igarassu - PE;53620-436;46.380.565/0001-42;['Segunda-feira - 08:00 às 21:00', 'Terça-feira - 11:00 às 20:00', 'Quarta-feira - 11:00 às 20:00', 'Quinta-feira - 11:00 às 20:00', 'Sexta-feira - 11:00 às 20:00', 'Sábado - 11:00 às 20:00', 'Domingo - 11:00 às 20:00'];['doce de frutas no pote']
Cheirinho de Vó Picolés Gourmet;https://www.ifood.com.br/delivery/igarassu-pe/cheirinho-de-vo-picoles-gourmet-saramandaia/c4f2e78b-1514-464c-9ecc-16a515de2c17;Rua José Sebastião de Oliveira, 61 - Saramandaia;Igarassu - PE;53620-650;40.222.216/0001-16;['Segunda-feira - 08:45 às 23:00', 'Terça-feira - 08:30 às 23:00', 'Quarta-feira - 06:00 às 21:00', 'Quinta-feira - 14:15 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 13:00 às 23:00', 'Domingo - 06:00 às 15:30'];['destaques', 'dindin gourmet trufados', 'picolés gourmet premium', 'picolés gourmet tradicionais (1)']
Rogerio Pizza's;https://www.ifood.com.br/delivery/abreu-e-lima-pe/rogerio-pizzas-desterro/7ab6e09b-8459-427b-aacd-78ec754dc41b;Rua Princesa Isabel, 8 - Desterro;Abreu e Lima - PE;53570-027;47.037.206/0001-50;['Segunda-feira - Não abre', 'Terça-feira - 17:00 às 22:00', 'Quarta-feira - 17:00 às 22:00', 'Quinta-feira - 17:00 às 22:00', 'Sexta-feira - 17:00 às 22:00', 'Sábado - 17:00 às 22:00', 'Domingo - 17:00 às 22:00'];['pizzas salgadas', 'pizzas doces', 'calzone', 'refrigerante']
Big Big II;https://www.ifood.com.br/delivery/igarassu-pe/big-big-ii-saramandaia/eda7312f-1815-4d27-8c9c-d110391ab643;Rua Aldo Senna Acioli, 55 - Saramandaia;Igarassu - PE;53620-525;40.919.827/0001-18;['Segunda-feira - 00:00 às 23:59', 'Terça-feira - 00:00 às 23:59', 'Quarta-feira - 00:00 às 23:59', 'Quinta-feira - 00:00 às 23:59', 'Sexta-feira - 00:00 às 23:59', 'Sábado - 00:00 às 23:59', 'Domingo - 00:00 às 23:59'];['cachorro quente de 40 cm', 'cachorro quente 15 cm', 'hambúrgueres', 'batata frita', 'refrigerantes', 'tapioca 30 cm tamanho familia', 'tapioca 15 cm', 'combos', 'coxinha de batata']
Açai da Villa;https://www.ifood.com.br/delivery/igarassu-pe/acai-da-villa-santa-rita/d5c7dd59-a6f3-4b92-9fa8-9142adaaed4b;-;-;-;-;['Segunda-feira - Não abre', 'Terça-feira - Não abre', 'Quarta-feira - 17:30 às 22:00', 'Quinta-feira - 17:30 às 22:00', 'Sexta-feira - 17:30 às 22:00', 'Sábado - 17:30 às 22:00', 'Domingo - 17:30 às 22:00'];['açai']
Pizzaria do Grau;https://www.ifood.com.br/delivery/igarassu-pe/pizzaria-do-grau-igarassu/a1b7bd05-0c4a-4619-aac5-924a81b6f2df;Rua do Governador, 15 - Igarassu ;Igarassu - PE;53600-000;34.455.247/0001-14;['Segunda-feira - 17:30 às 23:00', 'Terça-feira - 17:30 às 23:00', 'Quarta-feira - 17:30 às 23:00', 'Quinta-feira - 17:30 às 23:00', 'Sexta-feira - 17:30 às 23:00', 'Sábado - 17:30 às 21:00', 'Domingo - 17:30 às 23:00'];['refrigerantes', 'pizzas tradicionais🏻']
Rainha dos Espetos;https://www.ifood.com.br/delivery/igarassu-pe/rainha-dos-espetos-agamenon-magalhaes/688d3701-4109-49f2-988e-9a29c5d727bd;Sucupira Lot Pqr Igarassu, 101 - Agamenon Magalhaes;Igarassu - PE;53640-092;34.402.344/0001-49;['Segunda-feira - Não abre', 'Terça-feira - 18:00 às 22:30', 'Quarta-feira - 18:00 às 23:30', 'Quinta-feira - 18:00 às 22:30', 'Sexta-feira - 18:00 às 22:30', 'Sábado - 18:00 às 23:59', 'Domingo - 18:00 às 22:30'];['espetos', 'acompanhamentos', 'açai', 'bebidas', 'caldinho', 'cuscuz recheado', 'sopa', 'petiscos', 'hot dog']
La Casa de Pastel Hamburgueria & Açaí;https://www.ifood.com.br/delivery/igarassu-pe/la-casa-de-pastel-hamburgueria--acai-agamenon-magalhaes/5290caa2-7ef8-4a41-a940-5559cf73d609;-;-;-;-;['Segunda-feira - Não abre', 'Terça-feira - 17:00 às 23:00', 'Quarta-feira - 17:00 às 23:00', 'Quinta-feira - 17:00 às 23:00', 'Sexta-feira - 17:00 às 23:00', 'Sábado - 17:00 às 23:00', 'Domingo - Não abre'];"['promoo ""cupom de r$10""', 'menu', 'bebidas']"
Capital do Sabor;https://www.ifood.com.br/delivery/igarassu-pe/capital-do-sabor-centro/0799a590-c3ff-435e-abbd-82c2c6764a9c;Rua Santo Antônio, 282 - Centro;Igarassu - PE;53610-286;47.355.553/0001-20;['Segunda-feira - Não abre', 'Terça-feira - 17:45 às 23:00', 'Quarta-feira - 17:45 às 22:45', 'Quinta-feira - 17:45 às 23:00', 'Sexta-feira - 17:45 às 23:59', 'Sábado - 17:45 às 22:45', 'Domingo - 16:45 às 21:45'];['lanchonete', 'pizzas']
